"#","LISTING","TAGS","LISTING ID","TOTAL VIEWS","FAVORITES","EST. SALES","EST. REVENUE","PRICE","LISTING AGE","DAILY VIEWS","LAST UPDATED"
1,"Samsung Frame TV Art, Neutral Floral Screensaver, Beige Wildflowers, White Summer Flowers Painting, Farmhouse TV Art, Digital Download TV400","Frame TV Art Spring, Warm Tone Painting, Muted Tonal Frame TV, Country Frame TV Art, Wildflower Frame TV, Floral Frame TV Art, Digital Floral Art, Cottage Country, Samsung Frame TV Art, Frame TV Art Flowers, Wildflower Field, Summer Frame TV Art, Neutral Tone Art",1703122720,"6,156","331","203","€1,203.79","€5.18",816,7.54,"7/14/2026 20:21"
2,"Vintage Wildflower Meadow Print, Cottage Painting, Moody Fall Wall Art | A847","Printable Wall Art, Vintage Painting, Wildflower Print, Vintage Art Print, Downloadable Print, Antiquewhiteart, rustic wall art, fall wall art, cottagecore print, Floral Art Print, Thanksgiving prints, floral painting, Cottage Art print",4525565952,"24","0","0","€0","€6.27",23,1.04,"7/14/2026 19:56"
3,"Printable Halloween Wall Art, Bats & Full Moon Painting, Haunted Prints, Vintage Autumn Painting, Moody Rustic Decor, Digital Download |A582","Halloween Wall Art, Spooky Decor, Bat Art, Full Moon Art, Antiquewhiteart, Moody Halloween, Vintage Painting, Rustic Wall Art, Farmhouse Decor, Printable Wall Art, Cool Tones, Bats Print, Haunted Decor",4353647208,"108","10","3","€20.49","€5.97",331,0.33,"7/14/2026 19:04"
4,"200+ Frame tv Art, ALL-IN-ONE Collection (Digital Download)| TS108","Frame TV Art, AntiqueWhiteArt, Easter Frame TV, Frame TV art set, Frame TV digital art, Frame TV art bundle, Samsung Frame TV art, 4th of July Frame TV, Halloween Frame TV, Christmas Frame TV, All season art, Frame TV bundle, Bundles Frame TV",4458099690,"9,978","395","160","€5,137.6","€28.07",149,66.97,"7/14/2026 18:55"
5,"Frame TV Art, Beach Painting Frame Tv, Summer Sea Print, Ocean Screensaver TV, Coastal Landscape, Nautical Seascape, Digital Download |TV629","Summer Frame TV Art, Samsung Frame TV Art, Digital Download, Downloadable Art, Art for Frame TV, Beach Painting, Coastal Summer, Instant Download, Beach Frame Tv Art, Country Frame TV Art, Vintage Sea Frame TV, Ocean Frame TV, Frame Tv",4296675439,"1,816","111","93","€436.17","€4.1",444,4.09,"7/14/2026 18:48"
6,"Printable Christmas Prints, Set of 7 Rustic Winter Gallery Wall Art, Santa Claus Print, Christmas Tree Print, Vintage Christmas Decor | S96","Printable Wall Art, winter prints, Christmas Prints, Christmas Decor, antiquewhiteart, holiday art print, digital download, downloadable art, Winter Wall Art, Christmas Tree Print, Santa Claus Painting, Christmas Gallery, Winter Painting",1826692033,"413","20","10","€143.7","€12.56",605,0.68,"7/14/2026 18:06"
7,"PRINTABLE Moody Christmas Wall Art, Brass Bells Rustic Oil Painting, Country Christmas Print, Holiday Wall Decor, Digital Download | W117","Christmas Prints, Christmas Wall Art, Winter Painting, Christmas Decor, Christmas Tree Print, Antiquewhiteart, Printable Wall Art, Moody Christmas, Bells Art, Christmas Home Decor, Vintage Prints, Country Christmas, Winter Art Prints",1818234053,"910","74","30","€225.6","€6.57",621,1.47,"7/14/2026 18:06"
8,"Printable Muted Wildflowers Wall Art, Muted Vintage Meadow Painting, Rustic Farmhouse Decor, Autumn Prints, Floral Art Digital Download A523","Printable Wall Art, Vintage Painting, Wildflower Print, Vintage Art Print, Downloadable Print, Farmhouse Print, Antiquewhiteart, country wall decor, rustic wall art, fall wall art, autumn decor, cottagecore print, Floral Art Print",4335758315,"9,137","551","302","€2,165.34","€6.27",364,25.1,"7/14/2026 17:28"
9,"Samsung Frame TV Art, Moody Mountain Landscape, Vintage Country Oil Painting, Farmhouse Decor, Digital Download, Spring Frame TV Art | TV01","Frame TV Art Spring, Frame TV Art Vintage, Samsung Frame TV Art, Spring Frame TV Art, Muted Tonal Frame TV, Wildflower Field, Country Frame TV art, Digital Floral Art, Cottage Country, Muted Tonal Art, Warm Tone Painting, Farmhouse Decor, Living TV art",1635615275,"476","37","15","€88.95","€5.18",942,0.51,"7/14/2026 15:43"
10,"Haunted House Halloween Printable Wall Art, Moody Gothic Print | A884","Haunted House Print, Landscape painting, AntiqueWhiteArt, Moody gothic print, Printable wall art, digital download, Dark Wall Art, mystic Wall Art, Dark academia print, Halloween Painting, halloween print, spooky halloween, Seasonal prints",4536645486,"1","0","0","€0","€6.74",2,0.5,"7/14/2026 15:09"
